sub,conVlib,preVstm,stim,normC,d
3,Con,Pre,Rifg,1.1157,0.16575
5,Con,Pre,Rifg,0.68049,0.70244
6,Con,Pre,Rifg,1.2611,0.93479
7,Con,Pre,Rifg,0.79108,0.27087
8,Con,Pre,Rifg,0.86441,0.65863
9,Con,Pre,Rifg,1.2079,-0.1045
10,Con,Pre,Rifg,1.1438,0.31413
11,Con,Pre,Rifg,0.90907,0.33966
12,Con,Pre,Rifg,0.38491,0.52925
13,Con,Pre,Rifg,0.94703,1.0955
14,Con,Pre,Rifg,0.84975,0.58112
15,Con,Pre,Rifg,0.69129,-0.25682
16,Con,Pre,Rifg,0.98969,0.16465
17,Con,Pre,Rifg,0.88656,0.22062
18,Con,Pre,Rifg,1.0058,0.85131
19,Con,Pre,Rifg,0.33701,0.27597
20,Con,Pre,Rifg,0.83052,-0.075734
21,Con,Pre,Rifg,0.3601,0.39805
22,Con,Pre,Rifg,0.32537,0.65991
24,Con,Pre,Rifg,0.80636,-0.20351
3,Con,Pre,Rmfg,0.80276,0.54317
5,Con,Pre,Rmfg,0.67094,-0.31722
6,Con,Pre,Rmfg,0.63232,0.89968
7,Con,Pre,Rmfg,0.84351,-0.50227
8,Con,Pre,Rmfg,1.2355,-1.1368
9,Con,Pre,Rmfg,0.66728,0.46307
10,Con,Pre,Rmfg,0.78774,0.32561
11,Con,Pre,Rmfg,0.63232,0.89968
12,Con,Pre,Rmfg,0.61396,0.36091
13,Con,Pre,Rmfg,1.0065,0.7447
14,Con,Pre,Rmfg,1.5187,0.79144
15,Con,Pre,Rmfg,0.45638,0.39883
16,Con,Pre,Rmfg,0.70673,-0.030772
17,Con,Pre,Rmfg,0.71207,0.3694
18,Con,Pre,Rmfg,1.5044,0.4369
19,Con,Pre,Rmfg,0.63307,0.029253
20,Con,Pre,Rmfg,0.38941,0.10317
21,Con,Pre,Rmfg,0.30938,-0.050188
22,Con,Pre,Rmfg,0.78213,0.11371
24,Con,Pre,Rmfg,1.0858,0.23663
3,Con,Pre,Sham,0.70846,0.79248
5,Con,Pre,Sham,0.53863,0.17777
6,Con,Pre,Sham,0.91362,0.84323
7,Con,Pre,Sham,0.71331,0.3694
8,Con,Pre,Sham,0.81773,0.38334
9,Con,Pre,Sham,0.81451,0.60877
10,Con,Pre,Sham,1.1002,0.23663
11,Con,Pre,Sham,0.63018,0.17274
12,Con,Pre,Sham,0.30075,0.23678
13,Con,Pre,Sham,0.90546,1.4651
14,Con,Pre,Sham,1.5767,0.62066
15,Con,Pre,Sham,0.4157,0.70799
16,Con,Pre,Sham,1.0166,0.038848
17,Con,Pre,Sham,0.74813,0.2187
18,Con,Pre,Sham,1.5669,0.078134
19,Con,Pre,Sham,0.39538,0.65991
20,Con,Pre,Sham,0.68705,0.074216
21,Con,Pre,Sham,0.46867,0.22525
22,Con,Pre,Sham,0.727,0.16871
24,Con,Pre,Sham,1.1694,0.40021
3,Con,Stm,Rifg,0.69803,0.3694
5,Con,Stm,Rifg,0.80128,-0.58441
6,Con,Stm,Rifg,1.0869,0.63971
7,Con,Stm,Rifg,0.65897,0.16871
8,Con,Stm,Rifg,0.93764,1.1143
9,Con,Stm,Rifg,1.0229,0.84323
10,Con,Stm,Rifg,1.5797,-0.2547
11,Con,Stm,Rifg,0.6899,0.75292
12,Con,Stm,Rifg,0.39379,0.56853
13,Con,Stm,Rifg,1.3072,0.6118
14,Con,Stm,Rifg,1.1385,1.1485
15,Con,Stm,Rifg,0.66226,0.31722
16,Con,Stm,Rifg,1.0014,0.16575
17,Con,Stm,Rifg,0.64026,0.55311
18,Con,Stm,Rifg,1.3523,0.46845
19,Con,Stm,Rifg,0.28207,0.6496
20,Con,Stm,Rifg,0.62799,0.26724
21,Con,Stm,Rifg,0.19837,0.52751
22,Con,Stm,Rifg,0.50425,-0.056977
24,Con,Stm,Rifg,0.47462,0.31148
3,Con,Stm,Rmfg,0.91355,0.47613
5,Con,Stm,Rmfg,1.071,-0.098061
6,Con,Stm,Rmfg,1.3131,0.25686
7,Con,Stm,Rmfg,0.63233,0.26641
8,Con,Stm,Rmfg,1.0463,0.22595
9,Con,Stm,Rmfg,0.81096,0.44464
10,Con,Stm,Rmfg,1.1864,0.038848
11,Con,Stm,Rmfg,0.61736,0.46307
12,Con,Stm,Rmfg,1.0745,-0.14448
13,Con,Stm,Rmfg,0.7614,1.0955
14,Con,Stm,Rmfg,1.2307,1.3392
15,Con,Stm,Rmfg,0.55169,0.14304
16,Con,Stm,Rmfg,1.0359,0.36243
17,Con,Stm,Rmfg,0.63233,0.26641
18,Con,Stm,Rmfg,1.1321,0.75103
19,Con,Stm,Rmfg,0.19977,0.29051
20,Con,Stm,Rmfg,0.35623,0.4406
21,Con,Stm,Rmfg,0.56065,0.025412
22,Con,Stm,Rmfg,0.92861,0.27836
24,Con,Stm,Rmfg,0.33034,0.78064
3,Con,Stm,Sham,1.0124,0.75715
5,Con,Stm,Sham,1.0144,0.16575
6,Con,Stm,Sham,0.69942,0.46307
7,Con,Stm,Sham,0.79694,-0.1258
8,Con,Stm,Sham,0.8768,-0.43993
9,Con,Stm,Sham,1.0554,-0.49482
10,Con,Stm,Sham,1.2985,0.35446
11,Con,Stm,Sham,0.61542,0.58827
12,Con,Stm,Sham,0.52987,0.35645
13,Con,Stm,Sham,1.527,1.1743
14,Con,Stm,Sham,1.0766,0.84323
15,Con,Stm,Sham,0.49915,0.65991
16,Con,Stm,Sham,0.87794,0.70244
17,Con,Stm,Sham,0.74025,0.51781
18,Con,Stm,Sham,1.4823,-0.36868
19,Con,Stm,Sham,0.47413,0.39883
20,Con,Stm,Sham,0.68432,0.31722
21,Con,Stm,Sham,0.1061,0.13288
22,Con,Stm,Sham,0.90457,0.33966
24,Con,Stm,Sham,0.95618,-0.1045
3,Lib,Pre,Rifg,-0.042401,0.30019
5,Lib,Pre,Rifg,0.069408,0.41237
6,Lib,Pre,Rifg,-0.023865,0.48442
7,Lib,Pre,Rifg,0.061723,0.56022
8,Lib,Pre,Rifg,0.53828,0.050188
9,Lib,Pre,Rifg,0.7473,0.27567
10,Lib,Pre,Rifg,-0.61256,0.11371
11,Lib,Pre,Rifg,0.68608,-0.063983
12,Lib,Pre,Rifg,0.49342,-0.04864
13,Lib,Pre,Rifg,0.52209,0.36181
14,Lib,Pre,Rifg,0.9384,1.1218
15,Lib,Pre,Rifg,-0.39547,0.3126
16,Lib,Pre,Rifg,0.60963,0.064621
17,Lib,Pre,Rifg,-0.3615,0.61176
18,Lib,Pre,Rifg,-0.75097,0.22062
19,Lib,Pre,Rifg,-0.53227,0.48428
20,Lib,Pre,Rifg,0.095137,0.32503
21,Lib,Pre,Rifg,0.1944,-0.011972
22,Lib,Pre,Rifg,0.15399,0.73399
24,Lib,Pre,Rifg,-0.042401,0.30019
3,Lib,Pre,Rmfg,-0.35098,1.0488
5,Lib,Pre,Rmfg,0.16279,0.10763
6,Lib,Pre,Rmfg,1.0227,0.48991
7,Lib,Pre,Rmfg,0.27289,0.083652
8,Lib,Pre,Rmfg,0.43569,0.25071
9,Lib,Pre,Rmfg,-0.033055,0.59404
10,Lib,Pre,Rmfg,-0.29837,0.13522
11,Lib,Pre,Rmfg,-0.057042,1.184
12,Lib,Pre,Rmfg,0.63478,-0.24442
13,Lib,Pre,Rmfg,0.38828,1.065
14,Lib,Pre,Rmfg,0.72788,0.75715
15,Lib,Pre,Rmfg,-0.01282,0.03716
16,Lib,Pre,Rmfg,0.35332,0.69789
17,Lib,Pre,Rmfg,0.0075517,0.55723
18,Lib,Pre,Rmfg,-1.3284,0.29767
19,Lib,Pre,Rmfg,-0.25208,0.48374
20,Lib,Pre,Rmfg,0.065647,0.34791
21,Lib,Pre,Rmfg,0.08786,0.48442
22,Lib,Pre,Rmfg,0.44497,0.16068
24,Lib,Pre,Rmfg,0.68303,0.79781
3,Lib,Pre,Sham,0.28745,-0.071679
5,Lib,Pre,Sham,-0.092548,0.25335
6,Lib,Pre,Sham,0.77662,-0.041548
7,Lib,Pre,Sham,0.23204,-0.16789
8,Lib,Pre,Sham,0.44487,0.51355
9,Lib,Pre,Sham,0.58024,0.39776
10,Lib,Pre,Sham,-0.19663,-0.026049
11,Lib,Pre,Sham,0.046999,0.50241
12,Lib,Pre,Sham,0.54435,-0.074725
13,Lib,Pre,Sham,0.48891,0.70609
14,Lib,Pre,Sham,0.80195,0.58441
15,Lib,Pre,Sham,-0.034931,-0.087348
16,Lib,Pre,Sham,-0.053077,0.66813
17,Lib,Pre,Sham,0.35145,0.40639
18,Lib,Pre,Sham,-2.0458,0.35544
19,Lib,Pre,Sham,-0.43492,0.17777
20,Lib,Pre,Sham,-0.069739,0.76665
21,Lib,Pre,Sham,-0.0068116,0.18001
22,Lib,Pre,Sham,0.25049,0.78741
24,Lib,Pre,Sham,0.52632,0.25682
3,Lib,Stm,Rifg,0.49268,0.06026
5,Lib,Stm,Rifg,1.0395,0.43993
6,Lib,Stm,Rifg,0.24539,0.85742
7,Lib,Stm,Rifg,0.20017,0.14373
8,Lib,Stm,Rifg,0.96486,0.48991
9,Lib,Stm,Rifg,1.2564,0
10,Lib,Stm,Rifg,0.92679,0.88538
11,Lib,Stm,Rifg,0.26324,0.45272
12,Lib,Stm,Rifg,0.21467,0.55125
13,Lib,Stm,Rifg,0.75665,0.62937
14,Lib,Stm,Rifg,0.78178,1.1795
15,Lib,Stm,Rifg,0.16141,0
16,Lib,Stm,Rifg,1.1944,0.1258
17,Lib,Stm,Rifg,0.49268,0.06026
18,Lib,Stm,Rifg,-1.3112,0.29767
19,Lib,Stm,Rifg,-0.14387,0.54385
20,Lib,Stm,Rifg,-0.22203,0.77775
21,Lib,Stm,Rifg,0.30774,0.071679
22,Lib,Stm,Rifg,0.32224,0.4792
24,Lib,Stm,Rifg,0.47951,0.30787
3,Lib,Stm,Rmfg,0.29381,0.073335
5,Lib,Stm,Rmfg,0.91024,-0.11371
6,Lib,Stm,Rmfg,0.25449,0.35905
7,Lib,Stm,Rmfg,0.30845,-0.1697
8,Lib,Stm,Rmfg,0.30914,0.287
9,Lib,Stm,Rmfg,-0.040446,0.18001
10,Lib,Stm,Rmfg,-0.81759,0.38334
11,Lib,Stm,Rmfg,0.27712,0.45272
12,Lib,Stm,Rmfg,0.27587,-0.4584
13,Lib,Stm,Rmfg,0.82555,1.0173
14,Lib,Stm,Rmfg,1.1395,1.0423
15,Lib,Stm,Rmfg,-0.38394,0.18371
16,Lib,Stm,Rmfg,0.075643,0.36098
17,Lib,Stm,Rmfg,0.30439,0.41677
18,Lib,Stm,Rmfg,-1.8327,1.0786
19,Lib,Stm,Rmfg,-0.3032,-0.29485
20,Lib,Stm,Rmfg,0.20554,0.30488
21,Lib,Stm,Rmfg,0.034655,0.19129
22,Lib,Stm,Rmfg,0.50091,0.93076
24,Lib,Stm,Rmfg,0.46,1.2099
3,Lib,Stm,Sham,-0.1125,0
5,Lib,Stm,Sham,-0.013308,0.22738
6,Lib,Stm,Sham,0.68181,0.54482
7,Lib,Stm,Sham,0.4554,0.29485
8,Lib,Stm,Sham,0.32528,-0.096361
9,Lib,Stm,Sham,0.25257,0.69789
10,Lib,Stm,Sham,-0.56421,0.17274
11,Lib,Stm,Sham,0.14492,0.6921
12,Lib,Stm,Sham,0.19606,0.35905
13,Lib,Stm,Sham,0.61339,0.24417
14,Lib,Stm,Sham,1.1885,0.43352
15,Lib,Stm,Sham,-0.23435,0.19821
16,Lib,Stm,Sham,0.016659,0.36098
17,Lib,Stm,Sham,0.13701,0.083652
18,Lib,Stm,Sham,-1.5976,0.4369
19,Lib,Stm,Sham,-0.31175,0.19051
20,Lib,Stm,Sham,0.23779,0.23306
21,Lib,Stm,Sham,-0.081779,0.13288
22,Lib,Stm,Sham,0.56409,-0.40468
24,Lib,Stm,Sham,0.73289,0.35892
